iter	Passed	Remaining
406	6291	12259
407	6304	12239
408	6318	12220
409	6335	12207
410	6351	12193
411	6366	12177
412	6381	12159
413	6394	12139
414	6407	12120
415	6420	12100
416	6435	12084
417	6451	12068
418	6465	12052
419	6481	12036
420	6495	12018
421	6509	12001
422	6524	11984
423	6537	11965
424	6554	11951
425	6570	11937
426	6583	11917
427	6595	11897
428	6608	11876
429	6622	11859
430	6638	11844
431	6652	11826
432	6669	11814
433	6682	11794
434	6703	11788
435	6721	11778
436	6739	11767
437	6761	11762
438	6779	11751
439	6794	11736
440	6810	11721
441	6824	11703
442	6837	11683
443	6850	11664
444	6865	11648
445	6880	11632
446	6892	11610
447	6909	11597
448	6924	11581
449	6938	11564
450	6954	11549
451	6972	11538
452	6990	11527
453	7006	11512
454	7021	11496
455	7038	11483
456	7058	11475
457	7086	11480
458	7130	11511
459	7153	11508
460	7186	11520
461	7221	11536
462	7250	11541
463	7274	11539
464	7294	11530
465	7314	11521
466	7333	11511
467	7353	11501
468	7373	11492
469	7391	11480
470	7410	11470
471	7428	11456
472	7444	11441
473	7462	11429
474	7478	11414
475	7495	11400
476	7511	11385
477	7526	11368
478	7543	11355
479	7564	11346
480	7591	11348
481	7627	11362
482	7670	11386
483	7714	11412
484	7731	11397
485	7752	11389
486	7771	11377
487	7797	11376
488	7814	11361
489	7833	11351
490	7852	11338
491	7872	11328
492	7888	11312
493	7904	11296
494	7918	11278
495	7933	11260
496	7948	11242
497	7963	11225
498	7981	11211
499	7996	11195
500	8012	11178
501	8027	11162
502	8048	11152
503	8068	11142
504	8085	11127
505	8101	11111
506	8118	11097
507	8133	11079
508	8148	11062
509	8168	11051
510	8185	11036
511	8200	11018
512	8220	11009
513	8238	10995
514	8258	10985
515	8279	10975
516	8301	10967
517	8317	10950
518	8330	10930
519	8344	10912
520	8360	10895
521	8375	10878
522	8390	10861
523	8405	10844
524	8419	10825
525	8433	10806
526	8447	10788
527	8465	10774
528	8479	10755
529	8499	10744
530	8515	10728
531	8534	10716
532	8549	10699
533	8565	10682
534	8582	10667
535	8599	10652
536	8614	10635
537	8630	10619
538	8644	10601
539	8658	10582
540	8677	10569
541	8692	10552
542	8708	10537
543	8727	10523
544	8744	10509
545	8760	10493
546	8774	10475
547	8789	10457
548	8804	10439
549	8819	10422
550	8836	10408
551	8856	10396
552	8873	10382
553	8892	10368
554	8911	10356
555	8927	10340
556	8943	10323
557	8961	10310
558	8976	10293
559	8991	10276
560	9006	10258
561	9021	10241
562	9041	10229
563	9056	10212
564	9072	10196
565	9088	10180
566	9103	10163
567	9124	10152
568	9142	10138
569	9158	10123
570	9175	10107
571	9193	10093
572	9208	10076
573	9223	10059
574	9237	10040
575	9255	10026
576	9268	10007
577	9284	9991
